Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.21.108-49.247.213.246-80-54430-6,192.168.21.108,80,49.247.213.246,54430,6,15/12/2022 07:54:38 上午,176356,3,0,1717.0,0.0,1444.0,0.0,572.3333333333334,767.1273253726094,0,0,0,0,9735.988568577195,17.011045839098188,88178.0,124701.1092893724,176355.0,1.0,176356.0,88178.0,124701.1092893724,176355.0,1.0,0,0,0,0,0,0,0,0,0,104,0,17.011045839098188,0.0,0.0,1444.0,429.25,688.6321587030335,474214.24999999994,1,1,0,0,3,0,0,0,0.0,572.3333333333334,572.3333333333334,0.0,0,0,0,0,0,0,1,572,0,0,28960,0,2,32,0,0,0,0,0,0,0,0,No Label
49.247.213.246-192.168.21.85-48050-80-6,49.247.213.246,48050,192.168.21.85,80,6,15/12/2022 07:54:38 上午,194942,3,4,243.0,295.0,243.0,0.0,81.0,140.29611541307906,295.0,0.0,73.75,147.5,2759.7952211426987,35.908116260220986,32490.333333333336,73338.24137696967,182128.0,0.0,191102.0,95551.0,128000.46953038883,186061.0,5041.0,191009.0,63669.66666666667,110277.36552136767,191007.0,0.0,0,0,0,0,104,136,15.389192682951853,20.518923577269135,0.0,295.0,67.25,125.29593540323417,15699.07142857143,1,2,0,2,6,0,0,0,1.0,76.85714285714286,81.0,73.75,0,0,0,0,0,0,0,34,0,42,29200,122,1,32,0,0,0,0,1.6710620782505402E15,89456.66610844519,1.671062078298618E15,1.671062078116488E15,No Label
49.247.213.246-192.168.21.85-48050-80-6,49.247.213.246,48050,192.168.21.85,80,6,15/12/2022 07:54:38 上午,14001,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,142.8469395043211,14001.0,0.0,14001.0,14001.0,14001.0,14001.0,0.0,14001.0,14001.0,0,0,0,0,0,0,0,0,0,64,0,142.8469395043211,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,237,0,0,32,0,0,0,0,0,0,0,0,No Label
49.247.213.246-192.168.21.241-18841-80-6,49.247.213.246,18841,192.168.21.241,80,6,15/12/2022 07:54:38 上午,181893,3,2,243.0,505.0,243.0,0.0,81.0,140.29611541307906,505.0,0.0,252.5,357.0889244992065,4112.30778534633,27.488688404721458,45473.25,83398.13366966513,170566.0,2798.0,177788.0,88894.0,121758.13086607399,174990.0,2798.0,177469.0,177469.0,0.0,177469.0,177469.0,0,0,0,0,104,72,16.493213042832874,10.995475361888582,0.0,505.0,124.66666666666666,210.15391185192502,44164.66666666667,1,2,0,2,4,0,0,0,0.0,149.6,81.0,252.5,0,0,0,0,0,0,0,48,0,101,29200,259,1,32,0,0,0,0,1.671062078578483E15,115501.65006613542,1.671062078660155E15,1.671062078496811E15,No Label
49.247.213.246-192.168.21.98-21468-80-6,49.247.213.246,21468,192.168.21.98,80,6,15/12/2022 07:54:38 上午,177839,3,4,243.0,309.0,243.0,0.0,81.0,140.29611541307906,309.0,0.0,77.25,154.5,3103.9310837330395,39.36144490241173,29639.833333333332,70122.69719974174,172767.0,1.0,176058.0,88029.0,122419.98281326459,174593.0,1465.0,176013.0,58671.0,101619.42088006603,176011.0,1.0,0,0,0,0,104,136,16.86919067246217,22.492254229949562,0.0,309.0,69.0,128.97508064960235,16634.571428571428,1,2,0,2,6,0,0,0,1.0,78.85714285714286,81.0,77.25,0,0,0,0,0,0,0,34,0,44,29200,235,1,32,0,0,0,0,1.6710620786327452E15,85902.96411642527,1.671062078676995E15,1.671062078503914E15,No Label
192.168.21.72-49.247.213.246-80-42656-6,192.168.21.72,80,49.247.213.246,42656,6,15/12/2022 07:54:38 上午,186181,3,0,1717.0,0.0,1444.0,0.0,572.3333333333334,767.1273253726094,0,0,0,0,9222.208496033429,16.113352060629172,93090.5,131648.43341453024,186180.0,1.0,186181.0,93090.5,131648.43341453024,186180.0,1.0,0,0,0,0,0,0,0,0,0,104,0,16.113352060629172,0.0,0.0,1444.0,429.25,688.6321587030335,474214.24999999994,1,1,0,0,3,0,0,0,0.0,572.3333333333334,572.3333333333334,0.0,0,0,0,0,0,0,1,572,0,0,28960,0,2,32,0,0,0,0,0,0,0,0,No Label
49.247.213.246-192.168.99.143-10320-80-6,49.247.213.246,10320,192.168.99.143,80,6,15/12/2022 07:54:38 上午,192865,3,4,243.0,144.0,243.0,0.0,81.0,140.29611541307906,144.0,0.0,36.0,72.0,2006.5849169107923,36.294817618541465,32144.166666666668,73127.50661253715,181386.0,0.0,187034.0,93517.0,129721.5674357969,185244.0,1790.0,189007.0,63002.33333333333,107395.84729556974,187007.0,0.0,0,0,0,0,104,136,15.55492183651777,20.739895782023694,0.0,243.0,48.375,93.39920082252158,8723.410714285716,1,2,0,2,6,0,0,0,1.0,55.285714285714285,81.0,36.0,0,0,0,0,0,0,0,34,0,20,29200,122,1,32,0,0,0,0,1.6710620786408828E15,90497.38322315097,1.671062078688672E15,1.671062078505245E15,No Label
49.247.213.246-192.168.22.94-36865-80-6,49.247.213.246,36865,192.168.22.94,80,6,15/12/2022 07:54:38 上午,196870,3,3,243.0,0.0,243.0,0.0,81.0,140.29611541307906,0.0,0.0,0.0,0.0,1234.3170620206229,30.476964494336364,39374.0,75960.7681207872,175169.0,1986.0,191104.0,95552.0,122333.71578595984,182055.0,9049.0,189984.0,94992.0,131530.3465820721,187998.0,1986.0,0,0,0,0,104,104,15.238482247168182,15.238482247168182,0.0,243.0,34.714285714285715,91.84536694124222,8435.57142857143,1,2,0,1,5,0,0,0,1.0,40.5,81.0,0.0,0,0,0,0,0,0,0,40,0,0,29200,235,1,32,0,0,0,0,1.6710620786342152E15,95162.35277321243,1.671062078694404E15,1.671062078524504E15,No Label
49.247.213.246-192.168.22.35-47991-80-6,49.247.213.246,47991,192.168.22.35,80,6,15/12/2022 07:54:38 上午,217636,3,3,243.0,0.0,243.0,0.0,81.0,140.29611541307906,0.0,0.0,0.0,0.0,1116.5432189527469,27.568968369203624,43527.2,92659.37040148719,209267.0,1.0,215106.0,107553.0,147938.05233272474,212161.0,2945.0,214742.0,107371.0,151844.1101919992,214741.0,1.0,0,0,0,0,104,104,13.784484184601812,13.784484184601812,0.0,243.0,34.714285714285715,91.84536694124222,8435.57142857143,1,2,0,1,5,0,0,0,1.0,40.5,81.0,0.0,0,0,0,0,0,0,0,40,0,0,29200,235,1,32,0,0,0,0,1.6710620786438262E15,119045.57972614243,1.671062078715251E15,1.6710620785064E15,No Label
49.247.213.246-192.168.21.98-21468-80-6,49.247.213.246,21468,192.168.21.98,80,6,15/12/2022 07:54:38 上午,3042,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,657.4621959237344,3042.0,0.0,3042.0,3042.0,3042.0,3042.0,0.0,3042.0,3042.0,0,0,0,0,0,0,0,0,0,64,0,657.4621959237344,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,237,0,0,32,0,0,0,0,0,0,0,0,No Label
