Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.130.18-192.168.99.16-62806-53-17,172.16.130.18,62806,192.168.99.16,53,17,22/12/2022 04:20:43 下午,10001766,16,4,592.0,148.0,37.0,37.0,37.0,0.0,37.0,37.0,37.0,0.0,73.98693390747194,1.9996468623641066,526408.7368421053,1169442.901410128,4015287.0,0.0,7060219.0,470681.2666666666,1130951.4539291663,4015287.0,0.0,131.0,43.66666666666667,75.63288526384098,131.0,0.0,0,0,0,0,128,32,1.5997174898912851,0.3999293724728213,37.0,37.0,37.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,38.85,37.0,37.0,0,0,0,0,4,374873,0,29,0,7,0,0,15,8,0,0,0,0,1.6716972472145142E15,3694180.4405383286,1.671697253074255E15,1.671697243072489E15,No Label
172.30.223.50-192.168.99.16-52059-53-17,172.30.223.50,52059,192.168.99.16,53,17,22/12/2022 04:21:41 下午,2971182,3,1,87.0,176.0,29.0,29.0,29.0,0.0,176.0,176.0,176.0,0.0,88.51696059009511,1.346265560305629,990394.0,14151.374950866082,1000030.0,974147.0,1997035.0,998517.5,2138.9980130893064,1000030.0,997005.0,0,0,0,0,0,0,0,0,0,24,8,1.0096991702292217,0.33656639007640726,29.0,176.0,58.4,65.74039853849382,4321.8,0,0,0,0,0,0,0,0,0.0,73.0,29.0,176.0,0,0,0,0,0,0,0,21,0,44,0,0,2,8,0,0,0,0,1.671697303203592E15,686686.9515594424,1.671697303689153E15,1.671697302718031E15,No Label
192.168.99.16-180.153.228.6-12683-53-17,192.168.99.16,12683,180.153.228.6,53,17,22/12/2022 04:44:30 下午,202,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,475247.52475247526,9900.990099009901,202.0,0.0,202.0,202.0,202.0,202.0,0.0,202.0,202.0,0,0,0,0,0,0,0,0,0,16,0,9900.990099009901,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-114.114.114.114-51587-53-17,192.168.99.16,51587,114.114.114.114,53,17,22/12/2022 04:07:21 下午,10221,2,2,98.0,162.0,49.0,49.0,49.0,0.0,81.0,81.0,81.0,0.0,25437.82408766266,391.35113981019475,3407.0,4991.418936534981,9160.0,228.0,228.0,228.0,0.0,228.0,228.0,833.0,833.0,0.0,833.0,833.0,0,0,0,0,16,16,195.67556990509738,195.67556990509738,49.0,81.0,61.8,17.527121840165314,307.2,0,0,0,0,0,0,0,0,1.0,77.25,49.0,81.0,0,0,0,0,4,25437,0,24,0,40,0,0,1,8,0,0,0,0,1.6716964411769215E15,5726.857820829849,1.671696441180971E15,1.671696441172872E15,No Label
10.100.1.44-192.112.36.4-64589-53-17,10.100.1.44,64589,192.112.36.4,53,17,22/12/2022 04:08:16 下午,3306,2,0,84.0,0.0,42.0,42.0,42.0,0.0,0,0,0,0,25408.348457350272,604.9606775559589,3306.0,0.0,3306.0,3306.0,3306.0,3306.0,0.0,3306.0,3306.0,0,0,0,0,0,0,0,0,0,16,0,604.9606775559589,0.0,42.0,42.0,42.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,42.0,0.0,0,0,0,0,0,0,1,42,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-192.31.80.30-52030-53-17,10.100.1.44,52030,192.31.80.30,53,17,22/12/2022 04:08:16 下午,1845,2,0,80.0,0.0,40.0,40.0,40.0,0.0,0,0,0,0,43360.43360433604,1084.010840108401,1845.0,0.0,1845.0,1845.0,1845.0,1845.0,0.0,1845.0,1845.0,0,0,0,0,0,0,0,0,0,16,0,1084.010840108401,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,0,0,0,0,0,0,1,40,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-199.7.91.13-38257-53-17,10.100.1.44,38257,199.7.91.13,53,17,22/12/2022 04:15:39 下午,3879,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,21139.4689352926,515.5968032998195,3879.0,0.0,3879.0,3879.0,3879.0,3879.0,0.0,3879.0,3879.0,0,0,0,0,0,0,0,0,0,16,0,515.5968032998195,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
172.16.9.208-192.168.99.16-61386-53-17,172.16.9.208,61386,192.168.99.16,53,17,22/12/2022 04:20:04 下午,10001344,8,2,240.0,60.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0,0.0,29.99596854182798,0.9998656180609327,1111260.4444444443,1531230.7777620517,4002508.0,68.0,7041991.0,1005998.7142857141,1529186.667169154,4002508.0,68.0,175.0,175.0,0.0,175.0,175.0,0,0,0,0,64,16,0.7998924944487461,0.19997312361218653,30.0,30.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,30.0,30.0,0,0,0,0,0,0,0,24,0,6,0,0,7,8,0,0,0,0,1.6716972081027385E15,3585600.4117781627,1.671697214075729E15,1.671697204075547E15,No Label
172.19.72.184-10.100.1.44-50382-53-17,172.19.72.184,50382,10.100.1.44,53,17,22/12/2022 04:31:41 下午,16681,2,2,76.0,76.0,38.0,38.0,38.0,0.0,38.0,38.0,38.0,0.0,9112.163539356154,239.7937773514777,5560.333333333333,6560.765529519656,13136.0,1748.0,1797.0,1797.0,0.0,1797.0,1797.0,1748.0,1748.0,0.0,1748.0,1748.0,0,0,0,0,16,16,119.89688867573885,119.89688867573885,38.0,38.0,38.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,47.5,38.0,38.0,0,0,0,0,4,9112,0,19,0,19,0,0,1,8,0,0,0,0,1.6716979015286235E15,6781.861138360177,1.671697901533419E15,1.671697901523828E15,No Label
10.100.1.44-199.7.83.42-6515-53-17,10.100.1.44,6515,199.7.83.42,53,17,22/12/2022 04:20:43 下午,1893,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,50713.153724247226,1056.5240359218174,1893.0,0.0,1893.0,1893.0,1893.0,1893.0,0.0,1893.0,1893.0,0,0,0,0,0,0,0,0,0,16,0,1056.5240359218174,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-192.36.148.17-64951-53-17,10.100.1.44,64951,192.36.148.17,53,17,22/12/2022 04:09:00 下午,2244,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,36541.889483065956,891.2655971479501,2244.0,0.0,2244.0,2244.0,2244.0,2244.0,0.0,2244.0,2244.0,0,0,0,0,0,0,0,0,0,16,0,891.2655971479501,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-119.29.29.29-29767-53-17,192.168.99.16,29767,119.29.29.29,53,17,22/12/2022 03:39:50 下午,653,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,147013.7825421133,3062.7871362940273,653.0,0.0,653.0,653.0,653.0,653.0,0.0,653.0,653.0,0,0,0,0,0,0,0,0,0,16,0,3062.7871362940273,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-114.114.114.114-57773-53-17,192.168.99.16,57773,114.114.114.114,53,17,22/12/2022 04:31:41 下午,13721,2,2,98.0,162.0,49.0,49.0,49.0,0.0,81.0,81.0,81.0,0.0,18949.056191239706,291.5239414036878,4573.666666666667,6519.733455696892,12102.0,801.0,818.0,818.0,0.0,818.0,818.0,801.0,801.0,0.0,801.0,801.0,0,0,0,0,16,16,145.7619707018439,145.7619707018439,49.0,81.0,61.8,17.527121840165314,307.2,0,0,0,0,0,0,0,0,1.0,77.25,49.0,81.0,0,0,0,0,4,18949,0,24,0,40,0,0,1,8,0,0,0,0,1.6716979015011945E15,7412.600387178578,1.671697901506436E15,1.671697901495953E15,No Label
192.168.99.16-119.29.29.29-29130-53-17,192.168.99.16,29130,119.29.29.29,53,17,22/12/2022 04:43:55 下午,366,2,0,84.0,0.0,42.0,42.0,42.0,0.0,0,0,0,0,229508.19672131148,5464.48087431694,366.0,0.0,366.0,366.0,366.0,366.0,0.0,366.0,366.0,0,0,0,0,0,0,0,0,0,16,0,5464.48087431694,0.0,42.0,42.0,42.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,42.0,0.0,0,0,0,0,0,0,1,42,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-202.12.27.33-36844-53-17,10.100.1.44,36844,202.12.27.33,53,17,22/12/2022 04:20:50 下午,3624,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,26490.066225165563,551.8763796909492,3624.0,0.0,3624.0,3624.0,3624.0,3624.0,0.0,3624.0,3624.0,0,0,0,0,0,0,0,0,0,16,0,551.8763796909492,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
172.19.24.122-192.168.99.16-17259-53-17,172.19.24.122,17259,192.168.99.16,53,17,22/12/2022 04:07:21 下午,12533,2,2,76.0,140.0,38.0,38.0,38.0,0.0,70.0,70.0,70.0,0.0,17234.500917577596,319.15742439958507,4177.666666666667,7003.012946820342,12264.0,110.0,110.0,110.0,0.0,110.0,110.0,159.0,159.0,0.0,159.0,159.0,0,0,0,0,16,16,159.57871219979253,159.57871219979253,38.0,70.0,50.8,17.527121840165314,307.2,0,0,0,0,0,0,0,0,1.0,63.5,38.0,70.0,0,0,0,0,4,17234,0,19,0,35,0,0,1,8,0,0,0,0,1.6716964411770625E15,8481.745840332638,1.67169644118306E15,1.671696441171065E15,No Label
10.100.1.44-199.7.83.42-14011-53-17,10.100.1.44,14011,199.7.83.42,53,17,22/12/2022 04:15:31 下午,1770,2,0,82.0,0.0,41.0,41.0,41.0,0.0,0,0,0,0,46327.68361581921,1129.9435028248588,1770.0,0.0,1770.0,1770.0,1770.0,1770.0,0.0,1770.0,1770.0,0,0,0,0,0,0,0,0,0,16,0,1129.9435028248588,0.0,41.0,41.0,41.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.5,41.0,0.0,0,0,0,0,0,0,1,41,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-192.5.5.241-55754-53-17,10.100.1.44,55754,192.5.5.241,53,17,22/12/2022 04:21:01 下午,1837,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,52259.1181273816,1088.7316276537833,1837.0,0.0,1837.0,1837.0,1837.0,1837.0,0.0,1837.0,1837.0,0,0,0,0,0,0,0,0,0,16,0,1088.7316276537833,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-114.114.114.114-23730-53-17,192.168.99.16,23730,114.114.114.114,53,17,22/12/2022 04:51:48 下午,811,2,0,80.0,0.0,40.0,40.0,40.0,0.0,0,0,0,0,98643.64981504316,2466.091245376079,811.0,0.0,811.0,811.0,811.0,811.0,0.0,811.0,811.0,0,0,0,0,0,0,0,0,0,16,0,2466.091245376079,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,0,0,0,0,0,0,1,40,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-198.41.0.4-41885-53-17,10.100.1.44,41885,198.41.0.4,53,17,22/12/2022 04:08:26 下午,1812,2,0,84.0,0.0,42.0,42.0,42.0,0.0,0,0,0,0,46357.615894039736,1103.7527593818984,1812.0,0.0,1812.0,1812.0,1812.0,1812.0,0.0,1812.0,1812.0,0,0,0,0,0,0,0,0,0,16,0,1103.7527593818984,0.0,42.0,42.0,42.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,42.0,0.0,0,0,0,0,0,0,1,42,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-114.114.114.114-8131-53-17,192.168.99.16,8131,114.114.114.114,53,17,22/12/2022 04:49:53 下午,169,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,568047.3372781066,11834.31952662722,169.0,0.0,169.0,169.0,169.0,169.0,0.0,169.0,169.0,0,0,0,0,0,0,0,0,0,16,0,11834.31952662722,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-119.29.29.29-42455-53-17,192.168.99.16,42455,119.29.29.29,53,17,22/12/2022 03:40:06 下午,737,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,130257.80189959295,2713.7042062415194,737.0,0.0,737.0,737.0,737.0,737.0,0.0,737.0,737.0,0,0,0,0,0,0,0,0,0,16,0,2713.7042062415194,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-192.43.172.30-54608-53-17,10.100.1.44,54608,192.43.172.30,53,17,22/12/2022 04:08:13 下午,1806,2,0,80.0,0.0,40.0,40.0,40.0,0.0,0,0,0,0,44296.78848283499,1107.4197120708748,1806.0,0.0,1806.0,1806.0,1806.0,1806.0,0.0,1806.0,1806.0,0,0,0,0,0,0,0,0,0,16,0,1107.4197120708748,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,0,0,0,0,0,0,1,40,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
172.21.21.63-192.168.99.16-50456-53-17,172.21.21.63,50456,192.168.99.16,53,17,22/12/2022 04:50:00 下午,2433554,4,2,124.0,94.0,31.0,31.0,31.0,0.0,47.0,47.0,47.0,0.0,89.58091745652655,2.465529838253024,486710.8,679227.0750067314,1406571.0,453.0,1026388.0,342129.3333333334,591707.2407976205,1025374.0,453.0,595.0,595.0,0.0,595.0,595.0,0,0,0,0,32,16,1.6436865588353495,0.8218432794176748,31.0,47.0,35.57142857142857,7.8072005835882665,60.95238095238096,0,0,0,0,0,0,0,0,0.0,41.5,31.0,47.0,0,0,0,0,0,0,0,20,0,15,0,0,3,8,0,0,0,0,1.6716990014961422E15,998732.411837202,1.671699002807179E15,1.671699000375687E15,No Label
192.168.99.16-114.114.114.114-17042-53-17,192.168.99.16,17042,114.114.114.114,53,17,22/12/2022 04:08:15 下午,809,2,0,84.0,0.0,42.0,42.0,42.0,0.0,0,0,0,0,103831.891223733,2472.187886279357,809.0,0.0,809.0,809.0,809.0,809.0,0.0,809.0,809.0,0,0,0,0,0,0,0,0,0,16,0,2472.187886279357,0.0,42.0,42.0,42.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,42.0,0.0,0,0,0,0,0,0,1,42,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-198.41.0.4-36857-53-17,10.100.1.44,36857,198.41.0.4,53,17,22/12/2022 04:21:07 下午,2060,2,0,96.0,0.0,48.0,48.0,48.0,0.0,0,0,0,0,46601.94174757281,970.8737864077669,2060.0,0.0,2060.0,2060.0,2060.0,2060.0,0.0,2060.0,2060.0,0,0,0,0,0,0,0,0,0,16,0,970.8737864077669,0.0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,48.0,0.0,0,0,0,0,0,0,1,48,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
172.19.64.28-10.100.1.44-63044-53-17,172.19.64.28,63044,10.100.1.44,53,17,22/12/2022 04:05:43 下午,6611986,4,2,148.0,74.0,37.0,37.0,37.0,0.0,37.0,37.0,37.0,0.0,33.57538869562035,0.9074429377194688,1322397.2,1820378.7751634824,3601156.0,1870.0,3008922.0,1002974.0,1733866.8637288734,3005071.0,1870.0,1908.0,1908.0,0.0,1908.0,1908.0,0,0,0,0,32,16,0.604961958479646,0.302480979239823,37.0,37.0,37.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,43.166666666666664,37.0,37.0,0,0,0,0,0,0,0,24,0,12,0,0,3,8,0,0,0,0,1.671696346206333E15,2701705.224792051,1.671696349657551E15,1.671696343053194E15,No Label
192.168.99.16-114.114.114.114-64470-53-17,192.168.99.16,64470,114.114.114.114,53,17,22/12/2022 04:39:34 下午,191,2,0,84.0,0.0,42.0,42.0,42.0,0.0,0,0,0,0,439790.57591623033,10471.204188481675,191.0,0.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,0,0,0,0,0,0,0,0,0,16,0,10471.204188481675,0.0,42.0,42.0,42.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,42.0,0.0,0,0,0,0,0,0,1,42,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
192.168.99.16-153.36.240.104-23140-53-17,192.168.99.16,23140,153.36.240.104,53,17,22/12/2022 04:08:08 下午,154,2,0,80.0,0.0,40.0,40.0,40.0,0.0,0,0,0,0,519480.51948051946,12987.012987012988,154.0,0.0,154.0,154.0,154.0,154.0,0.0,154.0,154.0,0,0,0,0,0,0,0,0,0,16,0,12987.012987012988,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,40.0,0.0,0,0,0,0,0,0,1,40,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
10.100.1.44-192.26.92.30-58437-53-17,10.100.1.44,58437,192.26.92.30,53,17,22/12/2022 04:32:20 下午,3330,2,0,84.0,0.0,42.0,42.0,42.0,0.0,0,0,0,0,25225.225225225226,600.6006006006006,3330.0,0.0,3330.0,3330.0,3330.0,3330.0,0.0,3330.0,3330.0,0,0,0,0,0,0,0,0,0,16,0,600.6006006006006,0.0,42.0,42.0,42.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,63.0,42.0,0.0,0,0,0,0,0,0,1,42,0,0,0,0,1,8,0,0,0,0,0,0,0,0,No Label
