Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.98.61-45.151.167.11-80-3243-6,192.168.98.61,80,45.151.167.11,3243,6,15/12/2022 12:00:57 上午,477577,3,0,354.0,0.0,354.0,0.0,118.0,204.38199529312752,0,0,0,0,741.2417264650518,6.281709546313998,238788.5,326378.56988549355,469573.0,8004.0,477577.0,238788.5,326378.56988549355,469573.0,8004.0,0,0,0,0,0,0,0,0,0,104,0,6.281709546313998,0.0,0.0,354.0,88.5,177.0,31329.0,1,1,0,0,3,0,0,0,0.0,118.0,118.0,0.0,0,0,0,0,0,0,1,118,0,0,28960,0,1,32,0,0,0,0,0,0,0,0,No Label
45.151.167.11-192.168.98.61-16750-443-6,45.151.167.11,16750,192.168.98.61,443,6,15/12/2022 12:00:59 上午,147851,8,0,644.0,0.0,367.0,0.0,80.50000000000001,139.6546761531048,0,0,0,0,4355.736518522025,54.108528180397826,21121.571428571428,35728.85655347856,97577.0,47.0,147851.0,21121.571428571428,35728.85655347856,97577.0,47.0,0,0,0,0,0,0,0,0,0,264,0,54.108528180397826,0.0,0.0,367.0,71.55555555555556,133.36239266666513,17785.527777777777,1,1,0,3,7,0,0,0,0.0,80.5,80.5,0.0,0,0,0,0,0,0,1,80,0,0,29200,0,3,32,0,0,0,0,1.6710336599350032E15,55718.8269363205,1.671033660027648E15,1.671033659879987E15,No Label
192.168.98.61-45.151.167.11-443-6945-6,192.168.98.61,443,45.151.167.11,6945,6,15/12/2022 12:00:58 上午,2208048,15,0,6688.0,0.0,1456.0,0.0,445.8666666666666,643.4616057662167,0,0,0,0,3028.9196611667867,6.793330579770005,157717.71428571426,213200.58245750592,557823.0,0.0,2208048.0,157717.71428571426,213200.58245750592,557823.0,0.0,0,0,0,0,0,0,0,0,0,308,0,6.793330579770005,0.0,0.0,1456.0,418.0,631.5574399846779,398864.8,1,1,0,12,15,0,0,0,0.0,445.8666666666667,445.8666666666667,0.0,0,0,0,0,14,3878,1,445,0,0,65535,0,14,20,0,0,0,0,1.6710336591675612E15,681455.2293088434,1.671033660029415E15,1.671033658076378E15,No Label
192.168.98.61-109.70.100.24-443-64796-6,192.168.98.61,443,109.70.100.24,64796,6,15/12/2022 12:17:12 上午,699167,10,0,3530.0,0.0,1456.0,0.0,352.99999999999994,609.0703298196906,0,0,0,0,5048.865292555284,14.302734539816669,77685.22222222222,116525.33796108229,233126.0,1.0,699167.0,77685.22222222222,116525.33796108229,233126.0,1.0,0,0,0,0,0,0,0,0,0,208,0,14.302734539816669,0.0,0.0,1456.0,320.90909090909093,587.5356082052313,345198.09090909094,1,1,0,5,10,0,0,0,0.0,353.0,353.0,0.0,0,0,0,0,9,7572,1,353,0,0,65535,0,9,20,0,0,0,0,1.6710346324000488E15,160847.0776375442,1.67103463259986E15,1.671034632133699E15,No Label
109.70.100.24-192.168.98.61-17927-443-6,109.70.100.24,17927,192.168.98.61,443,6,15/12/2022 12:17:14 上午,961256,97,0,612.0,0.0,335.0,0.0,6.309278350515467,41.08435448986387,0,0,0,0,636.6670273059414,100.90964321679137,10013.083333333328,92515.04466531142,906894.0,7.0,961256.0,10013.083333333328,92515.04466531142,906894.0,7.0,0,0,0,0,0,0,0,0,0,3112,0,100.90964321679137,0.0,0.0,335.0,6.244897959183676,40.87699961362332,1670.929097412161,1,1,0,3,96,0,0,0,0.0,6.309278350515464,6.309278350515464,0.0,0,0,0,0,0,0,1,6,0,0,29200,0,3,32,0,0,0,0,1.671034635671742E15,212749.45368705716,1.671034635736742E15,1.67103463477575E15,No Label
192.168.98.61-109.70.100.24-443-64806-6,192.168.98.61,443,109.70.100.24,64806,6,15/12/2022 12:17:13 上午,3952575,209,0,271778.0,0.0,1456.0,0.0,1300.3732057416266,355.0432319962013,0,0,0,0,68759.73257939445,52.87692200654004,19002.764423076933,90223.08723572477,926022.0,0.0,3952575.0,19002.764423076933,90223.08723572477,926022.0,0.0,0,0,0,0,0,0,0,0,0,4188,0,52.87692200654004,0.0,0.0,1456.0,1294.180952380952,365.3830861376213,133504.7996354524,1,1,0,206,209,0,0,0,0.0,1300.3732057416269,1300.3732057416269,0.0,0,0,0,0,208,77328,1,1300,0,0,65535,0,208,20,0,0,0,0,1.6710346364710048E15,643613.64566429,1.671034637029047E15,1.67103463329489E15,No Label
192.168.98.61-109.70.100.81-443-36662-6,192.168.98.61,443,109.70.100.81,36662,6,15/12/2022 01:23:38 上午,570695,10,0,3530.0,0.0,1456.0,0.0,352.99999999999994,609.0703298196906,0,0,0,0,6185.440559318025,17.52249450231735,63410.555555555555,94920.8610700397,191689.0,0.0,570695.0,63410.555555555555,94920.8610700397,191689.0,0.0,0,0,0,0,0,0,0,0,0,208,0,17.52249450231735,0.0,0.0,1456.0,320.90909090909093,587.5356082052313,345198.09090909094,1,1,0,5,10,0,0,0,0.0,353.0,353.0,0.0,0,0,0,0,9,9313,1,353,0,0,65535,0,9,20,0,0,0,0,1.6710386191008548E15,131330.40822475636,1.671038619263914E15,1.671038618882436E15,No Label
109.70.100.81-192.168.98.61-17353-443-6,109.70.100.81,17353,192.168.98.61,443,6,15/12/2022 01:23:40 上午,158854,76,0,600.0,0.0,323.0,0.0,7.894736842105265,45.206070078362536,0,0,0,0,3777.053143137724,478.4267314641117,2118.0533333333333,14167.604390272878,122638.0,6.0,158854.0,2118.0533333333333,14167.604390272878,122638.0,6.0,0,0,0,0,0,0,0,0,0,2440,0,478.4267314641117,0.0,0.0,323.0,7.792207792207794,44.916688277866065,2017.508885850991,1,1,0,3,75,0,0,0,0.0,7.894736842105263,7.894736842105263,0.0,0,0,0,0,0,0,1,7,0,0,29200,0,3,32,0,0,0,0,1.6710386208581652E15,37546.46124757672,1.671038620877362E15,1.671038620718593E15,No Label
192.168.98.61-109.70.100.81-443-64124-6,192.168.98.61,443,109.70.100.81,64124,6,15/12/2022 01:23:39 上午,2492043,208,0,271741.0,0.0,1456.0,0.0,1306.447115384615,350.1161119910033,0,0,0,0,109043.46353574157,83.46565448509517,12038.85507246376,49238.349535980975,301632.0,0.0,2492043.0,12038.85507246376,49238.349535980975,301632.0,0.0,0,0,0,0,0,0,0,0,0,4168,0,83.46565448509517,0.0,0.0,1456.0,1300.1961722488031,360.77484026729644,130158.48536989324,1,1,0,205,208,0,0,0,0.0,1306.4471153846155,1306.4471153846155,0.0,0,0,0,0,207,121635,1,1306,0,0,65535,0,207,20,0,0,0,0,1.6710386215688588E15,436649.5355769842,1.671038622001201E15,1.671038619698172E15,No Label
192.168.98.61-109.70.100.80-80-43464-6,192.168.98.61,80,109.70.100.80,43464,6,15/12/2022 02:21:17 上午,636011,2,0,354.0,0.0,354.0,0.0,177.0,250.31580054003783,0,0,0,0,556.5941469565778,3.1445997003196484,636011.0,0.0,636011.0,636011.0,636011.0,636011.0,0.0,636011.0,636011.0,0,0,0,0,0,0,0,0,0,52,0,3.1445997003196484,0.0,0.0,354.0,118.0,204.38199529312752,41772.0,1,1,0,0,2,0,0,0,0.0,177.0,177.0,0.0,0,0,0,0,0,0,1,177,0,0,29200,0,1,20,0,0,0,0,0,0,0,0,No Label
