Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.19.24.99-180.119.234.128-63381-443-6,172.19.24.99,63381,180.119.234.128,443,6,16/10/2022 04:15:22 下午,975801,16,17,1099,7918,517,0,68.6875,140.0103419,1424,0,465.7647059,628.2763653,9240.613609,33.81837075,30493.78125,86689.13011,407097,0,975801,65053.4,119861.4596,407097,54,851153,53197.0625,132312.9076,480300,0,0,0,0,0,404,352,16.39678582,17.42158493,0,1424,265.2058824,491.8053803,241872.5321,1,2,0,14,32,0,0,0,1,273.2424242,68.6875,465.7647059,0,0,0,0,18,10594,0,33,0,239,64240,4089,5,20,0,0,0,0,1.67E+15,238142.1757,1.67E+15,1.67E+15,No Label
180.119.234.128-172.19.24.99-443-63381-6,180.119.234.128,443,172.19.24.99,63381,6,16/10/2022 04:15:23 下午,395709,3,3,2,31,1,0,0.666666667,0.577350269,31,0,10.33333333,17.89785834,83.39461574,15.16265741,79141.8,88377.81908,215670,327,179712,89856,968.7362902,90541,89171,395127,197563.5,25606.45787,215670,179457,1,0,0,0,72,84,7.581328704,7.581328704,0,31,4.857142857,11.53875458,133.1428571,1,0,0,3,6,0,0,0,1,5.666666667,0.666666667,10.33333333,0,0,0,0,0,0,0,0,0,5,4089,511,1,20,0,0,0,0,1.67E+15,1283.748548,1.67E+15,1.67E+15,No Label
180.119.234.128-172.19.24.99-443-63381-6,180.119.234.128,443,172.19.24.99,63381,6,16/10/2022 04:15:23 下午,0,3,0,494,0,494,0,164.6666667,285.211033,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,0,0,0,0,494,247,285.211033,81345.33333,1,0,0,1,3,0,0,0,0,329.3333333,164.6666667,0,0,0,0,0,0,0,1,164,0,0,4089,0,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-180.163.222.149-63382-80-6,172.19.24.99,63382,180.163.222.149,80,6,16/10/2022 04:15:23 下午,1234263,4,5,1325,482,1042,0,331.25,492.2556077,477,0,96.4,212.7728836,1464.031572,7.291800856,154282.875,217012.606,505258,0,877189,292396.3333,262014.5056,506226,119,729005,182251.25,210525.9545,371625,0,0,0,0,0,92,108,3.24080038,4.051000476,0,1042,180.7,344.29995,118542.4556,1,2,0,4,8,0,0,0,1,200.7777778,331.25,96.4,0,0,0,0,4,2482,0,147,0,53,64240,501,2,20,0,0,0,0,1.67E+15,425453.3526,1.67E+15,1.67E+15,No Label
172.19.24.99-180.163.222.149-63382-80-6,172.19.24.99,63382,180.163.222.149,80,6,16/10/2022 04:15:24 下午,194,2,0,0,0,0,0,0,0,0,0,0,0,0,10309.27835,194,0,194,194,194,194,0,194,194,0,0,0,0,0,0,0,0,0,40,0,10309.27835,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,511,0,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-58.223.164.7-63385-443-6,172.19.24.99,63385,58.223.164.7,443,6,16/10/2022 04:15:23 下午,1439590,11,9,708,4524,517,0,64.36363636,160.686199,1460,0,502.6666667,666.4026561,3634.368119,13.89284449,75767.89474,129567.1565,391209,0,1439590,143959,150986.5688,391641,390,943464,117933,147494.8305,391816,0,0,0,0,0,328,192,7.64106447,6.251780021,0,1460,249.1428571,491.276835,241352.9286,1,2,0,6,19,0,0,0,0,261.6,64.36363636,502.6666667,0,0,0,0,9,5509,0,35,0,226,64240,501,2,20,0,0,0,0,1.67E+15,363064.6651,1.67E+15,1.67E+15,No Label
172.19.24.99-58.223.164.7-63386-443-6,172.19.24.99,63386,58.223.164.7,443,6,16/10/2022 04:15:23 下午,1459677,10,10,1376,4574,637,0,137.6,240.6385949,1460,0,457.4,644.3994965,4076.244265,13.70166139,76825.10526,143753.1928,439204,0,1459677,162186.3333,176244.9961,439492,193,685422,76158,127434.1288,358774,0,0,0,0,0,236,212,6.850830697,6.850830697,0,1460,283.3333333,492.6495035,242703.5333,1,2,0,9,19,0,0,0,1,297.5,137.6,457.4,0,0,0,0,11,5834,0,68,0,228,64240,501,4,20,0,0,0,0,1.67E+15,333084.6,1.67E+15,1.67E+15,No Label
172.19.24.99-58.223.164.7-63384-443-6,172.19.24.99,63384,58.223.164.7,443,6,16/10/2022 04:15:23 下午,1795878,11,13,1252,4855,517,0,113.8181818,206.2521846,1460,0,373.4615385,582.9817915,3400.565072,13.36393675,78081.65217,147671.9408,481067,0,1795878,179587.8,182330.7016,481882,100,1479807,123317.25,231497.9147,704389,0,0,0,0,0,256,272,6.125137676,7.238799072,0,1460,244.28,454.9565474,206985.46,1,2,0,11,23,0,0,0,1,254.4583333,113.8181818,373.4615385,0,0,0,0,13,5392,0,52,0,202,64240,501,4,20,0,0,0,0,1.67E+15,442689.7499,1.67E+15,1.67E+15,No Label
172.19.24.99-58.223.164.7-63383-443-6,172.19.24.99,63383,58.223.164.7,443,6,16/10/2022 04:15:23 下午,1843757,11,13,1288,4855,549,0,117.0909091,213.3820304,1460,0,373.4615385,582.9817915,3331.783961,13.01689973,80163.34783,132837.8226,366050,0,1843757,184375.7,148251.8065,366408,188,1528159,127346.5833,206791.6788,670900,0,0,0,0,0,256,272,5.966079044,7.050820688,0,1460,245.72,455.8985194,207843.46,1,2,0,11,23,0,0,0,1,255.9583333,117.0909091,373.4615385,0,0,0,0,13,5181,0,53,0,202,64240,501,4,20,0,0,0,0,1.67E+15,474515.8347,1.67E+15,1.67E+15,No Label
58.223.164.7-172.19.24.99-443-63385-6,58.223.164.7,443,172.19.24.99,63385,6,16/10/2022 04:15:25 下午,158286,4,2,52,0,51,0,13,25.33771892,0,0,0,0,328.5192626,37.90606876,31657.2,44061.66153,92485,0,158286,52762,47739.47436,92970,0,65468,65468,0,65468,65468,0,0,0,0,80,52,25.27071251,12.63535625,0,51,7.571428571,19.15600117,366.952381,1,0,1,1,6,0,0,0,0,8.833333333,13,0,0,0,0,0,0,0,0,8,0,0,501,0,1,20,0,0,0,0,1.67E+15,37564.05784,1.67E+15,1.67E+15,No Label
